Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.5967401848651215,0.21539921377253626,2.4548410952669903,0.26779935275080907
2,2.415444010946184,0.28530116126700106,2.383118070830805,0.2961165048543689
3,2.2782513428561746,0.32890515566400075,2.2042226451886124,0.343042071197411
4,2.1679733391509646,0.3673580046089196,2.102008313422836,0.3843042071197411
5,2.0466967291356015,0.41566128959378246,2.029827624077164,0.4199029126213592
6,1.9145205325674393,0.47548687361619446,1.971582900359021,0.46359223300970875
7,1.7600738923907642,0.5423162080339795,1.849599696285902,0.5226537216828478
8,1.5847812104626995,0.6166463331977768,1.7297298098073421,0.5784789644012945
9,1.4129672814716914,0.6874519904206768,1.662062364102953,0.6043689320388349
10,1.2362233688039401,0.7664814061723374,1.6127020085899575,0.6407766990291263
11,1.086628255473092,0.832271474402422,1.607723001523311,0.6610032362459547
12,0.9533617825391985,0.8893859292395283,1.646548175503135,0.6561488673139159
13,0.8651245883884596,0.9272061813745425,1.628589025207322,0.6545307443365695
14,0.808214439022186,0.9499796665311102,1.5597846268835962,0.6828478964401294
15,0.7658147437418101,0.9657494012923049,1.5772197439446805,0.6642394822006472
16,0.742218565021915,0.9722561113370386,1.6447951431027508,0.669093851132686
17,0.7248887395649767,0.9770005874113235,1.5824442743097695,0.6812297734627831
18,0.7247130280347702,0.9746057566309702,1.591977215121865,0.6707119741100324
19,0.7202617281048077,0.9758257647643577,1.584247379241252,0.6796116504854369
20,0.6998468459118431,0.9812480231349691,1.617315199768659,0.6618122977346278
21,0.699310444766391,0.9812932086213908,1.5572890000821704,0.6820388349514563
22,0.7010841074877999,0.9788531923546157,1.5760636314219256,0.6796116504854369
23,0.6969385156144097,0.9795309746509421,1.5771368823005159,0.6852750809061489
24,0.6922451820975103,0.9796213456237857,1.5802398977927792,0.6877022653721683
25,0.6808079147321631,0.9829198861325742,1.674402724577771,0.6682847896440129
26,0.6838242665830735,0.9803894988929556,1.5813519622901497,0.68042071197411
27,0.6706108654150287,0.9850887894808188,1.6135536366681837,0.6844660194174758
28,0.6747631645090597,0.9831006280782613,1.6823098389461975,0.6577669902912622
29,0.6767216288097013,0.9820613618905607,1.6525785081980684,0.6577669902912622
30,0.6708128763103791,0.9836428539153224,1.5760259041894216,0.6933656957928802
31,0.6646856537492657,0.9848176765622882,1.6389731990480887,0.6699029126213593
32,0.6593349243566716,0.9867154669920022,1.6221608776104874,0.6844660194174758
33,0.6690111050393114,0.982784329673309,1.638874239134557,0.6739482200647249
34,0.6616349273925715,0.9852695314265058,1.6759043079363876,0.6658576051779935
35,0.6611951631760878,0.983733224888166,1.644995828276699,0.6779935275080906
36,0.6575063683294926,0.985043603994397,1.6380763377958132,0.6739482200647249
37,0.6577196314699968,0.9860376846956758,1.6442129388210458,0.6715210355987055
38,0.6622555218076454,0.9839591523202748,1.5848274107504046,0.6909385113268608
39,0.6533799714625412,0.9854954588586146,1.6223853645201254,0.6796116504854369
40,0.648402198838733,0.9882969590167638,1.6001849622016586,0.686084142394822
41,0.6443460954091546,0.9892458542316208,1.653711806609021,0.6836569579288025
42,0.6555825432933442,0.9848176765622882,1.6125081380208333,0.6739482200647249
43,0.6510551252343997,0.985811757263567,1.623101095551426,0.6731391585760518
44,0.6523058895045412,0.9856310153178799,1.5912028192316445,0.6852750809061489
45,0.6461092119086349,0.988071031584655,1.594282526800162,0.6885113268608414
46,0.6447934052488591,0.9882517735303421,1.6381061640372168,0.6844660194174758
47,0.6471782634511545,0.9867154669920022,1.6291362676034082,0.6828478964401294
48,0.648340068794903,0.986173241154941,1.628645616056078,0.6828478964401294
49,0.6437729369295332,0.9882517735303421,1.627710039947411,0.6763754045307443
50,0.6409457551765623,0.9892006687451991,1.5830257872547533,0.6933656957928802
