Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.6327304248000543,0.2069495278116669,2.5393479233034992,0.24757281553398058
2,2.5010835691450906,0.25114093353214945,2.43492783234729,0.2912621359223301
3,2.4283070480886537,0.2825448465952736,2.3438027391155947,0.31715210355987056
4,2.3500494922280963,0.3032397993764403,2.2722308211342033,0.34385113268608414
5,2.275315345273598,0.3306673896344494,2.2225572900864683,0.34951456310679613
6,2.210979684887714,0.3518141972798337,2.139419901332423,0.3794498381877023
7,2.1543186734670825,0.373909900140075,2.0935380559137338,0.4029126213592233
8,2.095484346053048,0.39971081288690075,2.0463440533980584,0.4393203883495146
9,2.018621892085762,0.4324251050562559,1.9621011184643002,0.4522653721682848
10,1.9482733849012697,0.45931046947720394,1.8958803442303802,0.47815533980582525
11,1.8788658301703494,0.48990104378473637,1.841323803157868,0.5186084142394822
12,1.8095345259477655,0.5153856581266097,1.7993993666565533,0.5444983818770227
13,1.736797012674529,0.5486421761330261,1.7324052829186893,0.5776699029126213
14,1.6675926161267,0.5768831051466269,1.7114431634304208,0.5938511326860841
15,1.6032677225950025,0.6096425828024039,1.6810047927412015,0.5849514563106796
16,1.5393509104875513,0.6358501649270254,1.6784707473705502,0.5881877022653722
17,1.4826607756088743,0.6564547467353486,1.6603142698220066,0.6092233009708737
18,1.4221696764436762,0.682707514346392,1.5868792981391586,0.6286407766990292
19,1.3692809471160363,0.7074691609055171,1.6127842776597896,0.6262135922330098
20,1.3173344940355158,0.7325922913560164,1.6422763071399675,0.6326860841423948
21,1.2597189392142243,0.7545072522705707,1.6519808969837175,0.6262135922330098
22,1.2164957560943925,0.7750666485924721,1.5606058361460862,0.6496763754045307
23,1.1727042242781618,0.7926438028105373,1.5408289640852548,0.662621359223301
24,1.1338672104457548,0.8105824409199766,1.545290950046774,0.6666666666666666
25,1.1073350341432833,0.8185350865302065,1.5189248489330502,0.6812297734627831
26,1.0677521067733045,0.8370611359631286,1.5598531679813916,0.669093851132686
27,1.031867505563463,0.8523338303736839,1.567926104400536,0.6666666666666666
28,1.0056184445743528,0.8671998554064434,1.6004170538152305,0.6601941747572816
29,0.9745156504168361,0.8803036464687543,1.5526828210330703,0.6699029126213593
30,0.9549800760245809,0.88943111472595,1.534123886750354,0.6771844660194175
31,0.940684429504993,0.895124486015092,1.5386845363382382,0.68042071197411
32,0.921786482338123,0.9038000994080702,1.5926852426868425,0.6553398058252428
33,0.8964123606310154,0.9134246080159053,1.5354307106783476,0.6796116504854369
34,0.879622775320817,0.9206091003569653,1.5362705860323118,0.68042071197411
35,0.8663879286973024,0.9286069314536171,1.5147667548417274,0.6909385113268608
36,0.8514095577188108,0.933351407527902,1.5136253579148968,0.6901294498381877
37,0.8417655452193755,0.9366499480366907,1.510818530826507,0.6755663430420712
38,0.8297011968505716,0.9404907143825403,1.5383052887654227,0.6788025889967637
39,0.823587565236546,0.9431114725950025,1.537896412475981,0.6885113268608414
40,0.8171744032691699,0.9457322308074646,1.5179308054902407,0.6909385113268608
41,0.8077578185011974,0.9503411504224843,1.5591522513084042,0.6788025889967637
42,0.7960365091670055,0.9550404410103475,1.569695333832676,0.6779935275080906
43,0.790171574234106,0.9550856264967692,1.54965249465893,0.6779935275080906
44,0.7837197574951426,0.9576160137363878,1.5018124873584142,0.7006472491909385
45,0.775566601288916,0.9602819574352718,1.5292665549466524,0.6893203883495146
46,0.7762574450149112,0.957977497627762,1.510543872623382,0.6941747572815534
47,0.7659462405675297,0.9643486512132303,1.517189791287419,0.68042071197411
48,0.7620593179533234,0.9652071754552438,1.5388998383457222,0.6901294498381877
49,0.7604054585479644,0.9654331028873526,1.5218408084610133,0.6820388349514563
50,0.755086985591478,0.9658397722651484,1.5157015408512844,0.7006472491909385
1,0.7504345572951968,0.96742126428991,1.5432357047368022,0.6852750809061489
2,0.7514750590235416,0.9657494012923049,1.5350228220127933,0.6836569579288025
3,0.7380064304595364,0.9712620306357598,1.5524493467460558,0.6893203883495146
4,0.7396049111681577,0.9691834982603588,1.5725019633962884,0.68042071197411
5,0.7354567158341241,0.9705842483394334,1.5432505190951153,0.686084142394822
6,0.7409894668395012,0.9679634901269712,1.5535580533222086,0.6771844660194175
7,0.7273058100769283,0.9731598210654737,1.553203002534638,0.68042071197411
8,0.7244450480943021,0.974063530793909,1.542425063049909,0.68042071197411
9,0.727869922633975,0.9726627807148344,1.5695803744121664,0.6925566343042071
