Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,2.541745388256292,"tensor([0.3987, 0.0000, 0.0000, 0.2867, 0.2941, 0.0894, 0.0117, 0.0000, 0.3914,
        0.0942, 0.0028, 0.0021, 0.0000, 0.0000, 0.0000, 0.0000, 0.0014, 0.0000,
        0.0000, 0.0000], dtype=torch.float64)",2.4323448008318165,"tensor([0.4341, 0.0000, 0.0000, 0.3077, 0.4832, 0.0000, 0.0000, 0.0000, 0.3969,
        0.1127, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0328, 0.0000], dtype=torch.float64)"
2,2.429706386121278,"tensor([0.4324, 0.0000, 0.0039, 0.2899, 0.3687, 0.1226, 0.1805, 0.0000, 0.4413,
        0.1442, 0.0000, 0.0447, 0.0488, 0.0000, 0.0000, 0.0000, 0.0290, 0.0000,
        0.0480, 0.0000], dtype=torch.float64)",2.498829863218042,"tensor([0.4099, 0.0000, 0.0000, 0.3039, 0.4171, 0.1852, 0.2383, 0.0000, 0.3353,
        0.1899, 0.0000, 0.2278, 0.1892, 0.0000, 0.0000, 0.0000, 0.1699, 0.0000,
        0.0370, 0.0000], dtype=torch.float64)"
3,2.3659337792576025,"tensor([0.4505, 0.0000, 0.0020, 0.2993, 0.3736, 0.1380, 0.2989, 0.0000, 0.4809,
        0.1926, 0.0000, 0.1193, 0.1097, 0.0000, 0.0000, 0.0000, 0.0649, 0.0000,
        0.1398, 0.0000], dtype=torch.float64)",2.322302167083839,"tensor([0.4748, 0.0000, 0.0000, 0.2629, 0.5350, 0.3280, 0.2945, 0.0000, 0.4643,
        0.1762, 0.0000, 0.0385, 0.2162, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.2222, 0.0000], dtype=torch.float64)"
4,2.3132250858524244,"tensor([0.4761, 0.0000, 0.0020, 0.3024, 0.4107, 0.1705, 0.3309, 0.0000, 0.5010,
        0.2315, 0.0000, 0.1424, 0.1254, 0.0000, 0.0000, 0.0000, 0.0717, 0.0000,
        0.2051, 0.0000], dtype=torch.float64)",2.3539594631750607,"tensor([0.4554, 0.0000, 0.0000, 0.2581, 0.5564, 0.1538, 0.2000, 0.0000, 0.2121,
        0.1170, 0.0000, 0.1818, 0.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,
        0.1731, 0.0000], dtype=torch.float64)"
5,2.2791908832632957,"tensor([0.4922, 0.0000, 0.0020, 0.3046, 0.4279, 0.1841, 0.3549, 0.0000, 0.5086,
        0.2744, 0.0000, 0.1878, 0.1582, 0.0000, 0.0000, 0.0000, 0.0893, 0.0000,
        0.2187, 0.0000], dtype=torch.float64)",2.23846988616252,"tensor([0.5163, 0.0000, 0.0000, 0.3484, 0.5298, 0.2074, 0.3592, 0.0000, 0.3896,
        0.2441, 0.0000, 0.2319, 0.2737, 0.0000, 0.0000, 0.0000, 0.3371, 0.0000,
        0.2600, 0.0000], dtype=torch.float64)"
6,2.226222549816999,"tensor([0.5132, 0.0000, 0.0020, 0.3089, 0.4564, 0.2006, 0.3700, 0.0000, 0.5468,
        0.3245, 0.0028, 0.2266, 0.2494, 0.0026, 0.0000, 0.0000, 0.1724, 0.0000,
        0.2520, 0.0000], dtype=torch.float64)",2.2079442095216426,"tensor([0.5335, 0.0000, 0.0000, 0.3412, 0.5333, 0.1165, 0.3007, 0.0000, 0.4828,
        0.3584, 0.0000, 0.2787, 0.0000, 0.0000, 0.0000, 0.0000, 0.3117, 0.0000,
        0.4138, 0.0000], dtype=torch.float64)"
7,2.180619980174868,"tensor([0.5235, 0.0000, 0.0020, 0.3081, 0.4709, 0.2574, 0.3930, 0.0000, 0.5590,
        0.3536, 0.0110, 0.2921, 0.2841, 0.0000, 0.0000, 0.0000, 0.1854, 0.0000,
        0.2936, 0.0000], dtype=torch.float64)",2.206999448510821,"tensor([0.5579, 0.0000, 0.0000, 0.3397, 0.5085, 0.3103, 0.3628, 0.0000, 0.4828,
        0.3819, 0.0513, 0.2921, 0.2727, 0.0000, 0.0000, 0.0000, 0.2637, 0.0000,
        0.2985, 0.0000], dtype=torch.float64)"
8,2.132546505749853,"tensor([0.5466, 0.0000, 0.0115, 0.3262, 0.4982, 0.2622, 0.4090, 0.0000, 0.5788,
        0.3979, 0.0392, 0.3110, 0.3364, 0.0026, 0.0000, 0.0000, 0.2384, 0.0000,
        0.3091, 0.0000], dtype=torch.float64)",2.12958395751163,"tensor([0.5455, 0.0000, 0.0000, 0.3178, 0.5255, 0.3881, 0.3842, 0.0000, 0.5049,
        0.3980, 0.0000, 0.3014, 0.3415, 0.0000, 0.0000, 0.0000, 0.3556, 0.0000,
        0.3662, 0.0000], dtype=torch.float64)"
9,2.1254428530680944,"tensor([0.5532, 0.0000, 0.0058, 0.3231, 0.4954, 0.2878, 0.4151, 0.0000, 0.5748,
        0.4099, 0.0569, 0.3033, 0.3573, 0.0026, 0.0101, 0.0000, 0.2477, 0.0000,
        0.3259, 0.0000], dtype=torch.float64)",2.0895644499646036,"tensor([0.6026, 0.0000, 0.0000, 0.3293, 0.5251, 0.3775, 0.3575, 0.0000, 0.5253,
        0.4609, 0.0816, 0.2931, 0.3836, 0.0000, 0.0741, 0.0000, 0.3784, 0.0000,
        0.3421, 0.0000], dtype=torch.float64)"
10,2.0928556450793003,"tensor([0.5577, 0.0000, 0.0387, 0.3333, 0.5217, 0.2861, 0.4357, 0.0000, 0.5617,
        0.4342, 0.0932, 0.3410, 0.3909, 0.0050, 0.0100, 0.0000, 0.2764, 0.0000,
        0.3577, 0.0000], dtype=torch.float64)",2.189035162570793,"tensor([0.5280, 0.0000, 0.0000, 0.3180, 0.5479, 0.3558, 0.3444, 0.0000, 0.3030,
        0.3549, 0.0000, 0.1562, 0.4032, 0.0370, 0.0000, 0.0000, 0.2364, 0.0000,
        0.3030, 0.0000], dtype=torch.float64)"
