Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.637447012956938,0.20066874519904207,2.553675185515271,0.21440129449838188
2,2.517267916045366,0.23948307803533506,2.471868916236853,0.25970873786407767
3,2.4336392884980342,0.27838778184447155,2.3571605497193566,0.31472491909385114
4,2.3536353841895985,0.30165830735167865,2.270768150156756,0.3284789644012945
5,2.263712912599973,0.33636076092359135,2.1845689298265576,0.37459546925566345
6,2.2013359371469883,0.35646830238127514,2.1681097826911406,0.37297734627831713
7,2.1290834618295604,0.38891148163209976,2.081402923682747,0.41019417475728154
8,2.0724469847160094,0.4085219827391442,2.0350369450343853,0.4312297734627832
9,1.9969764555374814,0.4444896299308662,2.0381588241429003,0.41504854368932037
10,1.939131266662148,0.4608467760155438,1.923649365076355,0.4692556634304207
11,1.8660384472007592,0.49441959242691247,1.8482442812626416,0.5105177993527508
12,1.7984594926234694,0.5239709005467443,1.8553474697866101,0.5105177993527508
13,1.7324890354593105,0.5499525552392571,1.8083241286787015,0.5258899676375405
14,1.6597308710067327,0.5833446297049387,1.7513522546268203,0.5493527508090615
15,1.5975688796258642,0.6109981473950568,1.7047024328731797,0.5833333333333334
16,1.5370344482852107,0.6339523744973115,1.6804691055445995,0.5946601941747572
17,1.4779517772016628,0.6592562468934978,1.6884639209142396,0.5970873786407767
18,1.4289064618069676,0.6808097239166779,1.6402069388084042,0.6076051779935275
19,1.3774429286125796,0.703899507478198,1.6756018975020226,0.6124595469255664
20,1.3221790489019927,0.7259952103384393,1.5833436046217637,0.6488673139158576
21,1.2774481531844473,0.744611630744205,1.6066418496536206,0.6359223300970874
22,1.234281716681352,0.7678821562514121,1.5818651316621157,0.6432038834951457
23,1.1909770761318965,0.784917084632416,1.6212813985386327,0.6610032362459547
24,1.1589150611698522,0.7972979079119786,1.6144966199560074,0.6432038834951457
25,1.1153310119289683,0.8169535945054448,1.5821102599110033,0.6618122977346278
26,1.0808551035594867,0.8322262889160001,1.6159021075103661,0.662621359223301
27,1.054688559034838,0.8457367493561068,1.5812662365367112,0.6715210355987055
28,1.0264321857631828,0.8599249920925399,1.5537538003767193,0.6715210355987055
29,0.995408819218517,0.8722606298856808,1.5979909557354874,0.6707119741100324
30,0.9732396016899372,0.8798066061181149,1.6145901479381575,0.6682847896440129
31,0.9487949595589896,0.8929555826668474,1.594368351315989,0.6585760517799353
32,0.9390825510595997,0.8951696715015137,1.5838798843926982,0.6771844660194175
33,0.9127439133737744,0.9084993899959333,1.551994743470621,0.6812297734627831
34,0.9000595883602187,0.9148253580949799,1.5659552021705603,0.6796116504854369
35,0.8924670145949121,0.9169038904703809,1.5669478629399272,0.6747572815533981
36,0.8761652913334237,0.9236365279472234,1.558366497743477,0.6949838187702265
37,0.8600177458937689,0.9290587863178347,1.5366078595899069,0.6925566343042071
38,0.8539531828939044,0.9307758348018617,1.5690981176678802,0.6885113268608414
39,0.8467160918225566,0.9355203108761466,1.5529946138943669,0.6949838187702265
40,0.8299061200917265,0.9438796258641724,1.532577564029632,0.6990291262135923
41,0.8202261886607022,0.947178166372961,1.5957425311931128,0.6812297734627831
42,0.813010013527405,0.949075956802675,1.5533766268140676,0.6828478964401294
43,0.8024619382879219,0.9533685780127423,1.5669943800250303,0.6957928802588996
44,0.8000616358275722,0.9542271022547558,1.5438810181849212,0.6820388349514563
45,0.7960551305295739,0.9555826668474086,1.5784779767774069,0.6877022653721683
46,0.7842612773089783,0.9604626993809589,1.5794556256636834,0.6699029126213593
47,0.7776165397236907,0.963264199539108,1.5582964752098503,0.6812297734627831
48,0.7751555192659618,0.9615019655686593,1.5719815843699434,0.6844660194174758
49,0.7684672729994126,0.9639419818354344,1.5853874922570288,0.68042071197411
50,0.7647932163876463,0.9642582802403867,1.556790052494185,0.6933656957928802
