Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,0.7223065919976503,"tensor([0.9792, 0.9690, 0.9711, 0.9726, 0.9805, 0.9763, 0.9817, 0.0000, 0.9803,
        0.9830, 0.9799, 0.9716, 0.9845, 0.9730, 0.9729, 0.0000, 0.9755, 0.0000,
        0.9761, 0.0000], dtype=torch.float64)",1.5438419082789745,"tensor([0.7351, 0.2105, 0.5517, 0.6375, 0.7000, 0.7351, 0.7081, 0.0000, 0.6667,
        0.7984, 0.4722, 0.5895, 0.8190, 0.4419, 0.3810, 0.0000, 0.7778, 0.0000,
        0.8624, 0.0000], dtype=torch.float64)"
2,0.7234463341156071,"tensor([0.9805, 0.9609, 0.9756, 0.9702, 0.9832, 0.9720, 0.9801, 0.0000, 0.9809,
        0.9846, 0.9694, 0.9795, 0.9821, 0.9602, 0.9715, 0.0000, 0.9684, 0.0000,
        0.9762, 0.0000], dtype=torch.float64)",1.605663114381068,"tensor([0.7230, 0.0000, 0.5000, 0.6074, 0.7261, 0.6816, 0.5714, 0.0000, 0.6916,
        0.7600, 0.4872, 0.5825, 0.8522, 0.3617, 0.4898, 0.0000, 0.7667, 0.0000,
        0.7826, 0.0000], dtype=torch.float64)"
3,0.7217036040367584,"tensor([0.9789, 0.9572, 0.9711, 0.9745, 0.9829, 0.9811, 0.9804, 0.0000, 0.9802,
        0.9826, 0.9757, 0.9828, 0.9833, 0.9778, 0.9662, 0.0000, 0.9765, 0.0000,
        0.9762, 0.0000], dtype=torch.float64)",1.5819485858806128,"tensor([0.7394, 0.2667, 0.5618, 0.6140, 0.7349, 0.6904, 0.6780, 0.0000, 0.6465,
        0.7639, 0.3860, 0.6122, 0.8571, 0.3902, 0.3556, 0.0000, 0.8033, 0.0000,
        0.8649, 0.0000], dtype=torch.float64)"
4,0.7149396809057431,"tensor([0.9793, 0.9669, 0.9846, 0.9747, 0.9843, 0.9771, 0.9749, 0.0000, 0.9824,
        0.9864, 0.9694, 0.9753, 0.9762, 0.9712, 0.9755, 0.0000, 0.9784, 0.0000,
        0.9784, 0.0000], dtype=torch.float64)",1.5901989983123483,"tensor([0.7206, 0.3529, 0.5057, 0.5993, 0.7421, 0.6667, 0.6784, 0.0000, 0.6136,
        0.8125, 0.4944, 0.6087, 0.8257, 0.3908, 0.3830, 0.0000, 0.7626, 0.0000,
        0.7731, 0.0000], dtype=torch.float64)"
5,0.7131606788836926,"tensor([0.9794, 0.9687, 0.9746, 0.9738, 0.9797, 0.9802, 0.9787, 0.0000, 0.9799,
        0.9835, 0.9756, 0.9807, 0.9864, 0.9651, 0.9703, 0.0000, 0.9709, 0.0000,
        0.9881, 0.0000], dtype=torch.float64)",1.5762342928296926,"tensor([0.7205, 0.2000, 0.5106, 0.6042, 0.7051, 0.7196, 0.6786, 0.0000, 0.6400,
        0.7760, 0.5507, 0.6222, 0.8037, 0.4235, 0.4545, 0.0000, 0.7967, 0.0000,
        0.8142, 0.0000], dtype=torch.float64)"
6,0.6948195192829063,"tensor([0.9858, 0.9708, 0.9866, 0.9825, 0.9874, 0.9842, 0.9883, 0.0000, 0.9856,
        0.9869, 0.9829, 0.9877, 0.9899, 0.9804, 0.9871, 0.0000, 0.9814, 0.0000,
        0.9881, 0.0000], dtype=torch.float64)",1.6018656017710862,"tensor([0.7621, 0.2105, 0.5783, 0.6053, 0.7059, 0.7228, 0.6512, 0.0000, 0.6522,
        0.7923, 0.5897, 0.6337, 0.8163, 0.3516, 0.4186, 0.0000, 0.7218, 0.0000,
        0.7895, 0.0000], dtype=torch.float64)"
7,0.7101448565502011,"tensor([0.9798, 0.9667, 0.9741, 0.9758, 0.9797, 0.9789, 0.9769, 0.0000, 0.9840,
        0.9817, 0.9762, 0.9813, 0.9779, 0.9645, 0.9755, 0.0000, 0.9781, 0.0000,
        0.9792, 0.0000], dtype=torch.float64)",1.557267469881422,"tensor([0.7458, 0.3333, 0.5432, 0.6328, 0.7296, 0.7701, 0.6705, 0.0000, 0.5532,
        0.7937, 0.5352, 0.6809, 0.7959, 0.4000, 0.5000, 0.0000, 0.8148, 0.0000,
        0.8276, 0.0000], dtype=torch.float64)"
8,0.7021791936367539,"tensor([0.9832, 0.9767, 0.9826, 0.9793, 0.9901, 0.9805, 0.9814, 0.0000, 0.9814,
        0.9828, 0.9729, 0.9818, 0.9773, 0.9703, 0.9808, 0.0000, 0.9850, 0.0000,
        0.9770, 0.0000], dtype=torch.float64)",1.535787440426527,"tensor([0.7610, 0.3529, 0.5455, 0.6316, 0.7465, 0.7435, 0.7030, 0.0000, 0.6400,
        0.8115, 0.5000, 0.6275, 0.8750, 0.3765, 0.3750, 0.0000, 0.7826, 0.0000,
        0.8155, 0.0000], dtype=torch.float64)"
9,0.7016372766848539,"tensor([0.9841, 0.9691, 0.9752, 0.9804, 0.9862, 0.9723, 0.9804, 0.0000, 0.9835,
        0.9812, 0.9813, 0.9855, 0.9786, 0.9789, 0.9796, 0.0000, 0.9776, 0.0000,
        0.9768, 0.0000], dtype=torch.float64)",1.5623612388438006,"tensor([0.7681, 0.3529, 0.5610, 0.6101, 0.7219, 0.7191, 0.6875, 0.0000, 0.7273,
        0.7886, 0.4938, 0.6154, 0.7917, 0.3951, 0.4783, 0.0000, 0.7500, 0.0000,
        0.8598, 0.0000], dtype=torch.float64)"
10,0.6982754588444942,"tensor([0.9800, 0.9728, 0.9810, 0.9775, 0.9809, 0.9825, 0.9820, 0.0000, 0.9836,
        0.9822, 0.9727, 0.9786, 0.9851, 0.9647, 0.9742, 0.0000, 0.9794, 0.0000,
        0.9836, 0.0000], dtype=torch.float64)",1.612040893159638,"tensor([0.7573, 0.3333, 0.5275, 0.6469, 0.7329, 0.7066, 0.6424, 0.0000, 0.7071,
        0.7791, 0.5250, 0.6265, 0.7395, 0.4103, 0.4615, 0.0000, 0.7285, 0.0000,
        0.8596, 0.0000], dtype=torch.float64)"
