Epoch,Train Loss,Train F1,Validation Loss,Validation F1
11,1.3804899483473407,"tensor([0.7865, 0.1087, 0.4907, 0.6315, 0.7774, 0.6469, 0.7170, 0.0000, 0.8040,
        0.7812, 0.6605, 0.6992, 0.7812, 0.4132, 0.5422, 0.0000, 0.7029, 0.0000,
        0.7190, 0.0000], dtype=torch.float64)",1.7038307560300363,"tensor([0.7148, 0.1176, 0.2889, 0.5088, 0.7059, 0.4951, 0.7160, 0.0000, 0.7642,
        0.7786, 0.5217, 0.5217, 0.6222, 0.1449, 0.2000, 0.0000, 0.6000, 0.0000,
        0.6522, 0.0000], dtype=torch.float64)"
12,1.2788008936841986,"tensor([0.8101, 0.2143, 0.5488, 0.6898, 0.7897, 0.6972, 0.7436, 0.0000, 0.8379,
        0.8139, 0.7147, 0.7207, 0.8124, 0.4894, 0.5995, 0.0000, 0.7491, 0.0000,
        0.7543, 0.0000], dtype=torch.float64)",1.6718590004930218,"tensor([0.7029, 0.2500, 0.2963, 0.5455, 0.7383, 0.6200, 0.6506, 0.0000, 0.7391,
        0.7935, 0.5278, 0.5289, 0.6602, 0.1471, 0.4138, 0.0000, 0.6015, 0.0000,
        0.6588, 0.0000], dtype=torch.float64)"
13,1.1671434971024808,"tensor([0.8410, 0.3432, 0.6275, 0.7396, 0.8454, 0.7568, 0.7878, 0.0000, 0.8591,
        0.8607, 0.7763, 0.7868, 0.8608, 0.5889, 0.6849, 0.0000, 0.8014, 0.0000,
        0.8105, 0.0000], dtype=torch.float64)",1.6637496207524272,"tensor([0.7495, 0.2000, 0.3409, 0.5609, 0.6573, 0.5698, 0.6259, 0.0000, 0.7007,
        0.7840, 0.5714, 0.5538, 0.7021, 0.2075, 0.3529, 0.0000, 0.6107, 0.0000,
        0.6465, 0.0000], dtype=torch.float64)"
14,1.0667258137623696,"tensor([0.8744, 0.4451, 0.7168, 0.7959, 0.8724, 0.8173, 0.8385, 0.0000, 0.8747,
        0.8860, 0.8288, 0.8188, 0.8833, 0.6840, 0.7223, 0.0000, 0.8499, 0.0000,
        0.8632, 0.0000], dtype=torch.float64)",1.7170396329515574,"tensor([0.7086, 0.3000, 0.3636, 0.5069, 0.7550, 0.6087, 0.6500, 0.0000, 0.7206,
        0.7673, 0.5556, 0.6604, 0.6744, 0.2444, 0.4000, 0.0000, 0.6015, 0.0000,
        0.6047, 0.0000], dtype=torch.float64)"
15,0.9928769316795445,"tensor([0.8939, 0.5598, 0.7764, 0.8405, 0.8854, 0.8484, 0.8657, 0.0000, 0.9057,
        0.9064, 0.8306, 0.8697, 0.9013, 0.7357, 0.7846, 0.0000, 0.8634, 0.0000,
        0.8874, 0.0000], dtype=torch.float64)",1.6638884806710155,"tensor([0.7410, 0.2609, 0.4396, 0.5970, 0.7097, 0.6280, 0.7632, 0.0000, 0.7731,
        0.7566, 0.5926, 0.6327, 0.7229, 0.2653, 0.3684, 0.0000, 0.6486, 0.0000,
        0.6933, 0.0000], dtype=torch.float64)"
16,0.9285444483981745,"tensor([0.9173, 0.6857, 0.8273, 0.8659, 0.9125, 0.8801, 0.8964, 0.0000, 0.9167,
        0.9278, 0.8831, 0.8790, 0.9161, 0.8116, 0.8343, 0.0000, 0.8891, 0.0000,
        0.9082, 0.0000], dtype=torch.float64)",1.6680149707979368,"tensor([0.7396, 0.3000, 0.4516, 0.6110, 0.7639, 0.6108, 0.7586, 0.0000, 0.7287,
        0.7812, 0.5435, 0.5818, 0.8000, 0.2549, 0.4444, 0.0000, 0.6069, 0.0000,
        0.7045, 0.0000], dtype=torch.float64)"
17,0.8874313921930775,"tensor([0.9312, 0.7247, 0.8511, 0.8858, 0.9327, 0.9003, 0.9130, 0.0000, 0.9403,
        0.9386, 0.8951, 0.9039, 0.9403, 0.8443, 0.8561, 0.0000, 0.9083, 0.0000,
        0.9100, 0.0000], dtype=torch.float64)",1.6208980029454896,"tensor([0.7534, 0.3333, 0.4286, 0.6167, 0.7432, 0.6522, 0.7733, 0.0000, 0.7879,
        0.7761, 0.6024, 0.5859, 0.7654, 0.2703, 0.4865, 0.0000, 0.7075, 0.0000,
        0.7059, 0.0000], dtype=torch.float64)"
18,0.8235736212778455,"tensor([0.9478, 0.8198, 0.9038, 0.9231, 0.9485, 0.9388, 0.9358, 0.0000, 0.9512,
        0.9609, 0.9336, 0.9374, 0.9591, 0.8849, 0.9093, 0.0000, 0.9333, 0.0000,
        0.9450, 0.0000], dtype=torch.float64)",1.6281358046053296,"tensor([0.7329, 0.3333, 0.4835, 0.5872, 0.7338, 0.6368, 0.7215, 0.0000, 0.7581,
        0.7949, 0.6207, 0.6154, 0.7160, 0.2857, 0.5000, 0.0000, 0.6234, 0.0000,
        0.7312, 0.0000], dtype=torch.float64)"
19,0.7965449341421535,"tensor([0.9551, 0.8635, 0.9065, 0.9403, 0.9553, 0.9478, 0.9518, 0.0000, 0.9582,
        0.9629, 0.9402, 0.9486, 0.9605, 0.9118, 0.9066, 0.0000, 0.9503, 0.0000,
        0.9576, 0.0000], dtype=torch.float64)",1.6057924931103358,"tensor([0.7535, 0.2857, 0.4938, 0.5988, 0.7733, 0.6533, 0.7190, 0.0000, 0.7717,
        0.7860, 0.5783, 0.5918, 0.7595, 0.2474, 0.4000, 0.0000, 0.6467, 0.0000,
        0.7143, 0.0000], dtype=torch.float64)"
20,0.7767489254326511,"tensor([0.9621, 0.8774, 0.9462, 0.9454, 0.9664, 0.9551, 0.9529, 0.0000, 0.9695,
        0.9643, 0.9469, 0.9548, 0.9724, 0.9160, 0.9387, 0.0000, 0.9530, 0.0000,
        0.9664, 0.0000], dtype=torch.float64)",1.5933719375758495,"tensor([0.7358, 0.2500, 0.5517, 0.5917, 0.7101, 0.6667, 0.7451, 0.0000, 0.7402,
        0.8281, 0.5306, 0.5586, 0.8101, 0.2821, 0.5185, 0.0000, 0.6575, 0.0000,
        0.7692, 0.0000], dtype=torch.float64)"
21,0.7640669832474809,"tensor([0.9662, 0.9170, 0.9507, 0.9535, 0.9576, 0.9556, 0.9673, 0.0000, 0.9501,
        0.9636, 0.9531, 0.9524, 0.9629, 0.9431, 0.9522, 0.0000, 0.9601, 0.0000,
        0.9567, 0.0000], dtype=torch.float64)",1.7005425610588591,"tensor([0.7244, 0.3030, 0.4685, 0.6266, 0.7261, 0.6304, 0.7215, 0.0000, 0.7559,
        0.7900, 0.5312, 0.6538, 0.7527, 0.2857, 0.3500, 0.0000, 0.6906, 0.0000,
        0.7126, 0.0000], dtype=torch.float64)"
22,0.7501327323663639,"tensor([0.9699, 0.9389, 0.9537, 0.9544, 0.9683, 0.9592, 0.9611, 0.0000, 0.9748,
        0.9732, 0.9491, 0.9621, 0.9682, 0.9501, 0.9539, 0.0000, 0.9672, 0.0000,
        0.9752, 0.0000], dtype=torch.float64)",1.666933917690635,"tensor([0.7294, 0.1818, 0.4536, 0.5788, 0.7397, 0.6562, 0.7143, 0.0000, 0.7581,
        0.7536, 0.5070, 0.6400, 0.7711, 0.3023, 0.3333, 0.0000, 0.6429, 0.0000,
        0.6304, 0.0000], dtype=torch.float64)"
23,0.7472142088586146,"tensor([0.9709, 0.9325, 0.9510, 0.9525, 0.9666, 0.9610, 0.9655, 0.0000, 0.9726,
        0.9698, 0.9620, 0.9596, 0.9826, 0.9421, 0.9655, 0.0000, 0.9625, 0.0000,
        0.9635, 0.0000], dtype=torch.float64)",1.6507812302475222,"tensor([0.7429, 0.4167, 0.4396, 0.5850, 0.7114, 0.6489, 0.6706, 0.0000, 0.7939,
        0.8240, 0.5455, 0.5385, 0.8148, 0.2222, 0.4516, 0.0000, 0.6573, 0.0000,
        0.6977, 0.0000], dtype=torch.float64)"
24,0.7385843987223804,"tensor([0.9744, 0.9130, 0.9608, 0.9588, 0.9698, 0.9644, 0.9646, 0.0000, 0.9711,
        0.9728, 0.9582, 0.9643, 0.9767, 0.9541, 0.9597, 0.0000, 0.9625, 0.0000,
        0.9723, 0.0000], dtype=torch.float64)",1.6672894622901497,"tensor([0.7490, 0.2857, 0.4578, 0.5976, 0.6835, 0.6119, 0.7436, 0.0000, 0.7227,
        0.7984, 0.5135, 0.5234, 0.8049, 0.2469, 0.4000, 0.0000, 0.7067, 0.0000,
        0.6667, 0.0000], dtype=torch.float64)"
25,0.7383204342890064,"tensor([0.9707, 0.9280, 0.9535, 0.9556, 0.9685, 0.9597, 0.9683, 0.0000, 0.9722,
        0.9722, 0.9685, 0.9685, 0.9719, 0.9509, 0.9566, 0.0000, 0.9647, 0.0000,
        0.9753, 0.0000], dtype=torch.float64)",1.642144459350981,"tensor([0.7358, 0.3000, 0.4762, 0.6377, 0.7482, 0.6500, 0.6974, 0.0000, 0.7227,
        0.7649, 0.5897, 0.5714, 0.7848, 0.2667, 0.4118, 0.0000, 0.6301, 0.0000,
        0.7273, 0.0000], dtype=torch.float64)"
26,0.7218467061192445,"tensor([0.9771, 0.9558, 0.9595, 0.9663, 0.9768, 0.9740, 0.9801, 0.0000, 0.9743,
        0.9700, 0.9693, 0.9722, 0.9737, 0.9610, 0.9700, 0.0000, 0.9670, 0.0000,
        0.9739, 0.0000], dtype=torch.float64)",1.6402180989583333,"tensor([0.7467, 0.3704, 0.5474, 0.6250, 0.7153, 0.6604, 0.6923, 0.0000, 0.7692,
        0.7687, 0.4762, 0.5333, 0.8354, 0.2778, 0.5000, 0.0000, 0.6765, 0.0000,
        0.7654, 0.0000], dtype=torch.float64)"
27,0.7200632914520356,"tensor([0.9757, 0.9500, 0.9681, 0.9655, 0.9764, 0.9666, 0.9746, 0.0000, 0.9780,
        0.9725, 0.9676, 0.9742, 0.9761, 0.9656, 0.9687, 0.0000, 0.9649, 0.0000,
        0.9789, 0.0000], dtype=torch.float64)",1.6264521034018506,"tensor([0.7187, 0.2857, 0.5217, 0.6250, 0.7190, 0.6316, 0.7226, 0.0000, 0.6549,
        0.7744, 0.5684, 0.5631, 0.7778, 0.2824, 0.4138, 0.0000, 0.6846, 0.0000,
        0.7294, 0.0000], dtype=torch.float64)"
28,0.71924761399451,"tensor([0.9745, 0.9471, 0.9713, 0.9626, 0.9690, 0.9639, 0.9788, 0.0000, 0.9785,
        0.9725, 0.9735, 0.9710, 0.9772, 0.9561, 0.9580, 0.0000, 0.9657, 0.0000,
        0.9840, 0.0000], dtype=torch.float64)",1.59902993606518,"tensor([0.7326, 0.2963, 0.4878, 0.6626, 0.7361, 0.6263, 0.6968, 0.0000, 0.7200,
        0.8075, 0.5500, 0.6126, 0.7816, 0.2989, 0.3871, 0.0000, 0.7483, 0.0000,
        0.7500, 0.0000], dtype=torch.float64)"
29,0.7089875079780624,"tensor([0.9787, 0.9580, 0.9671, 0.9704, 0.9728, 0.9712, 0.9792, 0.0000, 0.9791,
        0.9761, 0.9751, 0.9720, 0.9772, 0.9740, 0.9712, 0.0000, 0.9721, 0.0000,
        0.9789, 0.0000], dtype=torch.float64)",1.5936692123659992,"tensor([0.7331, 0.3810, 0.4783, 0.6417, 0.6988, 0.6542, 0.7471, 0.0000, 0.7907,
        0.8050, 0.5882, 0.6481, 0.8049, 0.2400, 0.5000, 0.0000, 0.7273, 0.0000,
        0.7312, 0.0000], dtype=torch.float64)"
30,0.7008430446827979,"tensor([0.9793, 0.9319, 0.9702, 0.9719, 0.9819, 0.9745, 0.9787, 0.0000, 0.9816,
        0.9821, 0.9760, 0.9772, 0.9820, 0.9655, 0.9635, 0.0000, 0.9744, 0.0000,
        0.9693, 0.0000], dtype=torch.float64)",1.6132509299466524,"tensor([0.7308, 0.2857, 0.3488, 0.5920, 0.7451, 0.6598, 0.7215, 0.0000, 0.7317,
        0.8171, 0.6494, 0.5370, 0.7356, 0.2400, 0.4375, 0.0000, 0.7034, 0.0000,
        0.6591, 0.0000], dtype=torch.float64)"
