Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,2.450106574205865,"tensor([0.4142, 0.0000, 0.0019, 0.2625, 0.3479, 0.1130, 0.2855, 0.0000, 0.3508,
        0.1348, 0.0000, 0.0952, 0.0510, 0.0000, 0.0000, 0.0000, 0.0349, 0.0000,
        0.1062, 0.0000], dtype=torch.float64)",2.3323200312247168,"tensor([0.4853, 0.0000, 0.0000, 0.3341, 0.5089, 0.0000, 0.3318, 0.0000, 0.3910,
        0.1364, 0.0000, 0.1587, 0.2481, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.1379, 0.0000], dtype=torch.float64)"
2,2.2758201518797163,"tensor([0.4926, 0.0000, 0.0000, 0.3062, 0.4484, 0.1768, 0.3641, 0.0000, 0.4756,
        0.2426, 0.0028, 0.1868, 0.2030, 0.0000, 0.0000, 0.0000, 0.0841, 0.0000,
        0.2105, 0.0000], dtype=torch.float64)",2.2545805995904127,"tensor([0.5504, 0.0000, 0.0000, 0.2424, 0.5333, 0.3182, 0.3314, 0.0000, 0.2857,
        0.2821, 0.0000, 0.2917, 0.2727, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.2632, 0.0000], dtype=torch.float64)"
3,2.2017985588653923,"tensor([0.5338, 0.0000, 0.0000, 0.3143, 0.4880, 0.2320, 0.3892, 0.0000, 0.5321,
        0.3085, 0.0292, 0.2688, 0.2656, 0.0026, 0.0000, 0.0000, 0.1115, 0.0000,
        0.2884, 0.0000], dtype=torch.float64)",2.160229729217233,"tensor([0.5811, 0.0000, 0.0000, 0.3161, 0.5421, 0.3175, 0.3977, 0.0000, 0.4583,
        0.3636, 0.0000, 0.3308, 0.3636, 0.0000, 0.0000, 0.0000, 0.2308, 0.0000,
        0.1356, 0.0000], dtype=torch.float64)"
4,2.137339873932493,"tensor([0.5556, 0.0000, 0.0000, 0.3238, 0.5186, 0.2822, 0.4187, 0.0000, 0.5622,
        0.3589, 0.1733, 0.3080, 0.3005, 0.0076, 0.0000, 0.0000, 0.1745, 0.0000,
        0.2815, 0.0000], dtype=torch.float64)",2.113914514436691,"tensor([0.5784, 0.0000, 0.0000, 0.3962, 0.5414, 0.3087, 0.4189, 0.0000, 0.4950,
        0.3571, 0.0488, 0.2968, 0.3514, 0.0000, 0.0000, 0.0000, 0.2453, 0.0000,
        0.3099, 0.0000], dtype=torch.float64)"
5,2.0712673964122725,"tensor([0.5745, 0.0000, 0.0020, 0.3365, 0.5421, 0.2974, 0.4533, 0.0000, 0.5939,
        0.4287, 0.2276, 0.3232, 0.3717, 0.0291, 0.0000, 0.0000, 0.2714, 0.0000,
        0.3521, 0.0000], dtype=torch.float64)",2.1673562256649475,"tensor([0.5561, 0.0000, 0.0000, 0.3789, 0.5641, 0.1509, 0.3862, 0.0000, 0.3694,
        0.4874, 0.2099, 0.3182, 0.4255, 0.0000, 0.0000, 0.0000, 0.2118, 0.0000,
        0.3288, 0.0000], dtype=torch.float64)"
6,1.9965320139171299,"tensor([0.6015, 0.0000, 0.0058, 0.3504, 0.5831, 0.3522, 0.4828, 0.0000, 0.6433,
        0.4983, 0.2865, 0.3606, 0.4417, 0.0462, 0.0000, 0.0000, 0.3112, 0.0000,
        0.3970, 0.0000], dtype=torch.float64)",2.0395910763046117,"tensor([0.6052, 0.0000, 0.0000, 0.3588, 0.6533, 0.4421, 0.3917, 0.0000, 0.3939,
        0.5272, 0.2432, 0.2740, 0.5200, 0.0377, 0.0000, 0.0000, 0.3182, 0.0000,
        0.4468, 0.0000], dtype=torch.float64)"
7,1.922652155065293,"tensor([0.6215, 0.0000, 0.0133, 0.3689, 0.6031, 0.3930, 0.5073, 0.0000, 0.6580,
        0.5309, 0.3644, 0.4086, 0.4866, 0.0304, 0.0195, 0.0000, 0.3855, 0.0000,
        0.4275, 0.0000], dtype=torch.float64)",1.9469661774372977,"tensor([0.5935, 0.0000, 0.0870, 0.3615, 0.6887, 0.3919, 0.4571, 0.0000, 0.4752,
        0.5439, 0.1765, 0.3736, 0.5684, 0.0656, 0.0000, 0.0000, 0.3973, 0.0000,
        0.5859, 0.0000], dtype=torch.float64)"
8,1.8311321294225296,"tensor([0.6548, 0.0000, 0.0550, 0.4083, 0.6306, 0.4343, 0.5443, 0.0000, 0.6715,
        0.5969, 0.3895, 0.4492, 0.5576, 0.0861, 0.0741, 0.0000, 0.4272, 0.0000,
        0.4855, 0.0000], dtype=torch.float64)",2.0419313498685274,"tensor([0.6083, 0.0000, 0.2909, 0.4057, 0.6667, 0.3611, 0.4552, 0.0000, 0.4865,
        0.5517, 0.3165, 0.3855, 0.5000, 0.0952, 0.0000, 0.0000, 0.4961, 0.0000,
        0.4382, 0.0000], dtype=torch.float64)"
9,1.756191294168813,"tensor([0.6771, 0.0000, 0.1189, 0.4427, 0.6625, 0.4676, 0.5745, 0.0000, 0.7144,
        0.6415, 0.4486, 0.4900, 0.6056, 0.1198, 0.1333, 0.0000, 0.4927, 0.0000,
        0.5228, 0.0000], dtype=torch.float64)",1.8704273014006878,"tensor([0.6379, 0.0000, 0.2692, 0.4056, 0.6974, 0.4713, 0.4279, 0.0000, 0.5741,
        0.6393, 0.4086, 0.3478, 0.6667, 0.0920, 0.0667, 0.0000, 0.5263, 0.0000,
        0.5405, 0.0000], dtype=torch.float64)"
10,1.6641846420179838,"tensor([0.7084, 0.0076, 0.2195, 0.4857, 0.6752, 0.5188, 0.6090, 0.0000, 0.7318,
        0.6958, 0.5144, 0.5408, 0.6589, 0.1776, 0.1922, 0.0000, 0.5489, 0.0000,
        0.5889, 0.0000], dtype=torch.float64)",1.8125882935755462,"tensor([0.6566, 0.0000, 0.2642, 0.4532, 0.6053, 0.4724, 0.5176, 0.0000, 0.4786,
        0.5991, 0.3600, 0.3301, 0.6903, 0.1972, 0.1818, 0.0000, 0.5612, 0.0000,
        0.6140, 0.0000], dtype=torch.float64)"
11,1.5772940106637747,"tensor([0.7324, 0.0149, 0.2426, 0.5273, 0.7125, 0.5629, 0.6540, 0.0000, 0.7547,
        0.7287, 0.5647, 0.5751, 0.6955, 0.2329, 0.2626, 0.0000, 0.6049, 0.0000,
        0.6276, 0.0000], dtype=torch.float64)",1.8196569152634507,"tensor([0.6382, 0.0000, 0.3607, 0.5000, 0.7030, 0.5238, 0.2526, 0.0000, 0.6022,
        0.6446, 0.4731, 0.4182, 0.6346, 0.1628, 0.1538, 0.0000, 0.5234, 0.0000,
        0.6019, 0.0000], dtype=torch.float64)"
12,1.4876836013397496,"tensor([0.7661, 0.0221, 0.3836, 0.5690, 0.7399, 0.6066, 0.6753, 0.0000, 0.7707,
        0.7574, 0.6094, 0.6298, 0.7228, 0.3046, 0.3165, 0.0000, 0.6395, 0.0000,
        0.6707, 0.0000], dtype=torch.float64)",1.7830223898285802,"tensor([0.6560, 0.0000, 0.3636, 0.4573, 0.6625, 0.5750, 0.5236, 0.0000, 0.5577,
        0.6749, 0.4198, 0.4516, 0.6429, 0.2553, 0.1818, 0.0000, 0.6667, 0.0000,
        0.5909, 0.0000], dtype=torch.float64)"
13,1.391928407126881,"tensor([0.7914, 0.0569, 0.4478, 0.6236, 0.7600, 0.6766, 0.7298, 0.0000, 0.7881,
        0.7868, 0.6697, 0.6706, 0.8007, 0.3382, 0.4106, 0.0000, 0.7061, 0.0000,
        0.7059, 0.0000], dtype=torch.float64)",1.880908361144822,"tensor([0.6468, 0.0000, 0.3404, 0.4300, 0.6577, 0.5490, 0.5600, 0.0000, 0.5455,
        0.6520, 0.4444, 0.5455, 0.6325, 0.2222, 0.2439, 0.0000, 0.5857, 0.0000,
        0.5968, 0.0000], dtype=torch.float64)"
14,1.312845686621707,"tensor([0.7986, 0.0761, 0.4917, 0.6837, 0.7836, 0.7201, 0.7452, 0.0000, 0.8123,
        0.8222, 0.6887, 0.7115, 0.7927, 0.4043, 0.4427, 0.0000, 0.7605, 0.0000,
        0.7444, 0.0000], dtype=torch.float64)",1.8353686286407767,"tensor([0.6703, 0.0000, 0.3130, 0.4399, 0.6803, 0.5064, 0.5829, 0.0000, 0.4416,
        0.6953, 0.3448, 0.5301, 0.7455, 0.2472, 0.1212, 0.0000, 0.5647, 0.0000,
        0.6804, 0.0000], dtype=torch.float64)"
15,1.221323807667977,"tensor([0.8420, 0.1074, 0.5812, 0.7180, 0.8157, 0.7632, 0.7871, 0.0000, 0.8436,
        0.8500, 0.7353, 0.7516, 0.8427, 0.4643, 0.5015, 0.0000, 0.7926, 0.0000,
        0.7853, 0.0000], dtype=torch.float64)",1.814013039795712,"tensor([0.6750, 0.0000, 0.4058, 0.4777, 0.7059, 0.6135, 0.4857, 0.0000, 0.5111,
        0.6691, 0.4348, 0.4921, 0.7216, 0.2800, 0.2778, 0.0000, 0.6780, 0.0000,
        0.6667, 0.0000], dtype=torch.float64)"
16,1.1481858027201663,"tensor([0.8626, 0.2075, 0.6296, 0.7668, 0.8408, 0.8035, 0.8177, 0.0000, 0.8617,
        0.8708, 0.7697, 0.7660, 0.8663, 0.5635, 0.5668, 0.0000, 0.8226, 0.0000,
        0.8098, 0.0000], dtype=torch.float64)",1.8533109893305015,"tensor([0.6679, 0.0000, 0.4318, 0.4886, 0.7500, 0.5700, 0.5909, 0.0000, 0.5818,
        0.6983, 0.3881, 0.4742, 0.6496, 0.1748, 0.1905, 0.0000, 0.6620, 0.0000,
        0.6981, 0.0000], dtype=torch.float64)"
17,1.0815869848854547,"tensor([0.8828, 0.3188, 0.6950, 0.7998, 0.8494, 0.8345, 0.8395, 0.0000, 0.8761,
        0.8943, 0.7910, 0.8037, 0.8838, 0.6101, 0.6126, 0.0000, 0.8354, 0.0000,
        0.8450, 0.0000], dtype=torch.float64)",1.8729988764790655,"tensor([0.7046, 0.0000, 0.4122, 0.4615, 0.6667, 0.6030, 0.6071, 0.0000, 0.5412,
        0.6751, 0.4923, 0.4337, 0.7723, 0.2118, 0.2326, 0.0000, 0.5565, 0.0000,
        0.6237, 0.0000], dtype=torch.float64)"
18,1.0266469050765894,"tensor([0.9003, 0.3850, 0.7400, 0.8396, 0.8744, 0.8573, 0.8689, 0.0000, 0.8796,
        0.9112, 0.8057, 0.8118, 0.9147, 0.7002, 0.7124, 0.0000, 0.8705, 0.0000,
        0.8362, 0.0000], dtype=torch.float64)",1.8545233964148462,"tensor([0.7036, 0.2667, 0.4494, 0.5280, 0.7273, 0.6129, 0.5545, 0.0000, 0.5794,
        0.6783, 0.4483, 0.5000, 0.7551, 0.3297, 0.1081, 0.0000, 0.6379, 0.0000,
        0.6408, 0.0000], dtype=torch.float64)"
19,0.9774757410419773,"tensor([0.9103, 0.4912, 0.7830, 0.8599, 0.8913, 0.8858, 0.8940, 0.0000, 0.8971,
        0.9096, 0.8498, 0.8509, 0.8889, 0.7517, 0.7755, 0.0000, 0.8813, 0.0000,
        0.8846, 0.0000], dtype=torch.float64)",1.8584655959243528,"tensor([0.6986, 0.0000, 0.4299, 0.5618, 0.6857, 0.5814, 0.5750, 0.0000, 0.5370,
        0.7265, 0.4928, 0.4545, 0.7347, 0.2299, 0.1702, 0.0000, 0.5695, 0.0000,
        0.7170, 0.0000], dtype=torch.float64)"
20,0.9375018533109665,"tensor([0.9313, 0.5802, 0.8124, 0.8800, 0.8971, 0.8923, 0.9088, 0.0000, 0.9136,
        0.9278, 0.8607, 0.8679, 0.9207, 0.7773, 0.7740, 0.0000, 0.8925, 0.0000,
        0.8991, 0.0000], dtype=torch.float64)",1.9112386857807444,"tensor([0.6987, 0.1333, 0.4731, 0.5120, 0.6867, 0.6417, 0.4844, 0.0000, 0.5556,
        0.7042, 0.4773, 0.5714, 0.6596, 0.2689, 0.2000, 0.0000, 0.5882, 0.0000,
        0.7156, 0.0000], dtype=torch.float64)"
21,0.9048519857609236,"tensor([0.9328, 0.6486, 0.8385, 0.8967, 0.9201, 0.9040, 0.9117, 0.0000, 0.9256,
        0.9324, 0.9003, 0.8954, 0.9357, 0.8092, 0.8229, 0.0000, 0.9201, 0.0000,
        0.8925, 0.0000], dtype=torch.float64)",1.86840662292678,"tensor([0.6933, 0.0769, 0.4396, 0.5088, 0.6800, 0.6162, 0.6087, 0.0000, 0.5122,
        0.6937, 0.4333, 0.4000, 0.7434, 0.2000, 0.2564, 0.0000, 0.6099, 0.0000,
        0.7292, 0.0000], dtype=torch.float64)"
22,0.8639307031144097,"tensor([0.9491, 0.6726, 0.8813, 0.9149, 0.9335, 0.9236, 0.9305, 0.0000, 0.9424,
        0.9451, 0.9059, 0.8987, 0.9506, 0.8615, 0.8594, 0.0000, 0.9270, 0.0000,
        0.9190, 0.0000], dtype=torch.float64)",1.936036341398665,"tensor([0.6884, 0.2105, 0.4490, 0.5090, 0.7075, 0.6092, 0.5595, 0.0000, 0.6111,
        0.7018, 0.3667, 0.5393, 0.6383, 0.2889, 0.2000, 0.0000, 0.6173, 0.0000,
        0.5714, 0.0000], dtype=torch.float64)"
23,0.8524685043039176,"tensor([0.9464, 0.7597, 0.8784, 0.9237, 0.9466, 0.9237, 0.9393, 0.0000, 0.9328,
        0.9517, 0.9109, 0.9143, 0.9427, 0.8611, 0.8515, 0.0000, 0.9268, 0.0000,
        0.9265, 0.0000], dtype=torch.float64)",1.9486880009228358,"tensor([0.6832, 0.0952, 0.4615, 0.5147, 0.6667, 0.5833, 0.5614, 0.0000, 0.4792,
        0.6920, 0.4364, 0.3333, 0.6977, 0.1951, 0.2778, 0.0000, 0.6903, 0.0000,
        0.6923, 0.0000], dtype=torch.float64)"
24,0.8381302316320998,"tensor([0.9468, 0.7909, 0.8945, 0.9211, 0.9392, 0.9350, 0.9432, 0.0000, 0.9522,
        0.9516, 0.9153, 0.9288, 0.9536, 0.8900, 0.8552, 0.0000, 0.9394, 0.0000,
        0.9261, 0.0000], dtype=torch.float64)",1.8721823090488472,"tensor([0.6846, 0.0000, 0.4375, 0.5476, 0.7013, 0.6203, 0.5915, 0.0000, 0.5714,
        0.7016, 0.3243, 0.5526, 0.6897, 0.2469, 0.2632, 0.0000, 0.6466, 0.0000,
        0.7238, 0.0000], dtype=torch.float64)"
