Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.6185169417333154,0.21169400388595183,2.5061479586999393,0.27750809061488674
2,2.463601502135014,0.2618498938141069,2.38568984343396,0.30339805825242716
3,2.343016618374678,0.30504721883331076,2.2724911587909586,0.32605177993527507
4,2.240477158736614,0.33974967240522347,2.2076710327543485,0.36893203883495146
5,2.1414397508020424,0.3796484569156387,2.1300345115291264,0.38106796116504854
6,2.0355558591455423,0.4231168948533731,2.000036542083839,0.44336569579288027
7,1.9206082178279336,0.47015498621842666,1.9134071127882282,0.4741100323624595
8,1.8018492866341331,0.5238353440874791,1.8444373862257282,0.5088996763754046
9,1.6715855304776106,0.5782838552257015,1.737844325192152,0.5711974110032363
10,1.5401386559012245,0.6311508743391623,1.6990579648311084,0.580906148867314
11,1.414838066513036,0.6885364420947991,1.6395425642192556,0.6084142394822006
12,1.2895350060435589,0.7395056707785459,1.6120117582549556,0.6213592233009708
13,1.1851878621899146,0.7898423026523881,1.5939036742769013,0.6488673139158576
14,1.0842359840269304,0.8296959016763815,1.6033197791831006,0.6504854368932039
