Epoch,Train Loss,Train F1,Validation Loss,Validation F1
1,2.529638325482355,"tensor([0.3824, 0.0000, 0.0039, 0.2361, 0.2972, 0.1065, 0.2695, 0.0000, 0.2718,
        0.0853, 0.0000, 0.0553, 0.0468, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0193, 0.0000], dtype=torch.float64)",2.385508515688208,"tensor([0.4540, 0.0000, 0.0000, 0.2949, 0.5316, 0.2270, 0.3311, 0.0000, 0.3182,
        0.1505, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000], dtype=torch.float64)"
2,2.3317378973498712,"tensor([0.4710, 0.0000, 0.0020, 0.2916, 0.4426, 0.1902, 0.3528, 0.0000, 0.4477,
        0.1892, 0.0000, 0.1841, 0.1071, 0.0000, 0.0000, 0.0000, 0.0276, 0.0000,
        0.1207, 0.0000], dtype=torch.float64)",2.23163157836519,"tensor([0.5200, 0.0000, 0.0000, 0.2405, 0.5393, 0.3868, 0.3517, 0.0000, 0.4742,
        0.2500, 0.0000, 0.0984, 0.0351, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.2400, 0.0000], dtype=torch.float64)"
3,2.242672361450002,"tensor([0.5077, 0.0000, 0.0058, 0.3016, 0.4872, 0.2221, 0.3918, 0.0000, 0.5127,
        0.2783, 0.0000, 0.2438, 0.2176, 0.0000, 0.0000, 0.0000, 0.1106, 0.0000,
        0.2069, 0.0000], dtype=torch.float64)",2.187125690546622,"tensor([0.5427, 0.0000, 0.0000, 0.3056, 0.5500, 0.3923, 0.3630, 0.0000, 0.4390,
        0.2688, 0.0000, 0.1867, 0.1875, 0.0000, 0.0000, 0.0000, 0.1176, 0.0000,
        0.0377, 0.0000], dtype=torch.float64)"
4,2.1767124946342236,"tensor([0.5400, 0.0000, 0.0078, 0.3214, 0.5305, 0.2520, 0.4177, 0.0000, 0.5569,
        0.3450, 0.0217, 0.3070, 0.2355, 0.0051, 0.0000, 0.0000, 0.1928, 0.0000,
        0.2426, 0.0000], dtype=torch.float64)",2.0867015258394015,"tensor([0.5339, 0.0000, 0.0000, 0.3290, 0.5556, 0.4080, 0.4312, 0.0000, 0.3099,
        0.3947, 0.0000, 0.4286, 0.2927, 0.0000, 0.0000, 0.0000, 0.2368, 0.0000,
        0.2462, 0.0000], dtype=torch.float64)"
5,2.1062503177104515,"tensor([0.5508, 0.0000, 0.0039, 0.3188, 0.5580, 0.2951, 0.4319, 0.0000, 0.5927,
        0.3980, 0.0673, 0.3464, 0.3721, 0.0175, 0.0000, 0.0000, 0.2691, 0.0000,
        0.2829, 0.0000], dtype=torch.float64)",2.0585425910826256,"tensor([0.5953, 0.0000, 0.0000, 0.3814, 0.5843, 0.4107, 0.4171, 0.0000, 0.3421,
        0.3846, 0.0435, 0.3738, 0.4000, 0.0000, 0.0000, 0.0000, 0.2250, 0.0000,
        0.3158, 0.0000], dtype=torch.float64)"
6,2.034421279822421,"tensor([0.5819, 0.0000, 0.0429, 0.3492, 0.5677, 0.3199, 0.4810, 0.0000, 0.6176,
        0.4591, 0.1762, 0.3922, 0.4163, 0.0403, 0.0000, 0.0000, 0.3207, 0.0000,
        0.3713, 0.0000], dtype=torch.float64)",2.027884967890372,"tensor([0.5896, 0.0000, 0.0000, 0.3802, 0.6412, 0.4796, 0.4706, 0.0000, 0.4870,
        0.4730, 0.2143, 0.3636, 0.5532, 0.0323, 0.0000, 0.0000, 0.3883, 0.0000,
        0.3614, 0.0000], dtype=torch.float64)"
7,1.9543330057385568,"tensor([0.6139, 0.0000, 0.0426, 0.3868, 0.5968, 0.3528, 0.5112, 0.0000, 0.6315,
        0.5150, 0.2608, 0.4343, 0.4717, 0.0856, 0.0248, 0.0000, 0.3874, 0.0000,
        0.3970, 0.0000], dtype=torch.float64)",1.9224079218497168,"tensor([0.6127, 0.0000, 0.0000, 0.4424, 0.6358, 0.1509, 0.5185, 0.0000, 0.5042,
        0.5688, 0.2222, 0.4231, 0.5800, 0.0656, 0.0000, 0.0000, 0.4202, 0.0000,
        0.4783, 0.0000], dtype=torch.float64)"
8,1.8678559274885906,"tensor([0.6383, 0.0000, 0.1096, 0.4234, 0.6170, 0.3931, 0.5546, 0.0000, 0.6750,
        0.5517, 0.3301, 0.4848, 0.5302, 0.1027, 0.0288, 0.0000, 0.4421, 0.0000,
        0.4574, 0.0000], dtype=torch.float64)",1.8533364700268002,"tensor([0.6452, 0.0000, 0.1132, 0.4421, 0.6463, 0.3822, 0.5106, 0.0000, 0.5435,
        0.5727, 0.2985, 0.4384, 0.5812, 0.1905, 0.0000, 0.0000, 0.5055, 0.0000,
        0.4889, 0.0000], dtype=torch.float64)"
9,1.7700240542112873,"tensor([0.6654, 0.0000, 0.1797, 0.4648, 0.6518, 0.4294, 0.6011, 0.0000, 0.6936,
        0.6148, 0.4080, 0.5257, 0.5999, 0.1798, 0.0937, 0.0000, 0.4982, 0.0000,
        0.4697, 0.0000], dtype=torch.float64)",1.7954994374494337,"tensor([0.6592, 0.0000, 0.2462, 0.4810, 0.6471, 0.4322, 0.5352, 0.0000, 0.5600,
        0.6182, 0.2903, 0.4466, 0.6400, 0.0339, 0.0690, 0.0000, 0.4717, 0.0000,
        0.6118, 0.0000], dtype=torch.float64)"
10,1.674737571167141,"tensor([0.6851, 0.0076, 0.2839, 0.5116, 0.6775, 0.4883, 0.6304, 0.0000, 0.7195,
        0.6789, 0.4511, 0.5661, 0.6228, 0.2122, 0.1322, 0.0000, 0.5613, 0.0000,
        0.5524, 0.0000], dtype=torch.float64)",1.7819277075116302,"tensor([0.6678, 0.0000, 0.3421, 0.4985, 0.6714, 0.4767, 0.5503, 0.0000, 0.5636,
        0.6748, 0.3939, 0.5049, 0.5763, 0.1758, 0.0571, 0.0000, 0.5231, 0.0000,
        0.6154, 0.0000], dtype=torch.float64)"
