Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.582829697327044,0.19559748427672957,2.4560813317880963,0.2255456750202102
2,2.45920653638814,0.2196765498652291,2.4363604139298705,0.22069523039611966
3,2.4164432768980233,0.23522012578616353,2.3743165246690583,0.24171382376717865
4,2.3604810689016174,0.2500449236298293,2.3615177928582254,0.24413904607922393
5,2.307448548405211,0.2651392632524708,2.3001019193360954,0.26192400970088925
6,2.25872448478212,0.27394429469901166,2.258524001174717,0.28455941794664513
7,2.1943483967879605,0.29649595687331537,2.158180625378941,0.3104284559417947
8,2.132609817216981,0.30808625336927226,2.1741300935984236,0.30638641875505257
9,2.067026582154088,0.33315363881401616,2.071905236332862,0.3556992724333064
10,1.975135648304133,0.36594788858939803,2.017907329981811,0.36782538399353276
